index,image,sound,text,options,option 1,option 2,end,end order
0,0.png,0.mp3,رحلة مع الإبل والأرقام,no,,,no,
1,1.png,1.mp3,"في يومٍ دراسيٍّ عاديٍّ، يُمسكُ الطفلُ رياضُ بكتابِ الرياضياتِ ويُلاحِظُ بريقًا يُشعُّ من الكتابِ",no,,,no,
2,2.webp,2.mp3,. يتخيلُ رياضُ أنهُ يعودُ إلى الزمنِ القديمِ ليشهدَ ماذا فَعَلَ العلماءُ في الرياضياتِ وكيفَ استفدنا من علوم الرياضياتِ في حياتِنا  وفي التطوُّرِ والتكنولوجيا.,no,,,no,
3,3.png,3.mp3,"يجدُ رياضُ نفسهُ في صحراءَ عربيةٍ قديمةٍ حيثُ يلتقي بأصدقاءَ جُدُدٍ يعيشونَ في الخيامِ ويَرْكبونَ الجِمال، ويتعلمُ عن أهميةِ الجِمَالِ في الحياةِ اليوميةِ والتجارة.  ",no,,,no,
4,4.png,4.mp3,"يُفكِّرُ رياضُ في خَيارينِ لمواصلةِ رِحْلتِهِ:  هل يسألُ راعِي الإبلِ عن أنواعِ الإبلِ وكيفَ يمكنُ استخدامُها في التَّنَقُّلِ والتجارةِ، أوْ يُقرِّرُ رياضُ استكمالَ رحلتِهِ لزيارةِ علماءِ الرياضياتِ والتعرفَ على إسهاماتِهم في تطورِ الأرقامِ والحساب.",no,,,no,
5,5.png,5.mp3,السؤال: أيُّ الخَيَارَيْنِ تفضلُ اختِيارَه؟ الخَيَارُ الأول: التعمقُ أكثرَ في معرفةِ أنواعِ الإبلِ وأعدادِها. الخَيَارُ الثاني: استكمالُ الرحلةِ الخَيَالِيَّةِ لزيارةِ علماءِ الرياضياتِ وتَعَلُّمِ المزيدِ عن الأرقامِ والنُّظُمِ العدديةِ؟,yes,6,12,no,
6,6.png,6.mp3,يبدأُ الراعي بشرح شكلِ وفائدةِ كل نوعٍ من أنواعِ الإبلِ. ثم يسألُ الراعي رياضَ:  هل تريدُ أن تعرفَ أكثرَ عن الجمل العربيِّ أو الجملِ الآسيوي؟ ,no,,,no,
7,7.png,7.mp3,السؤال: أيُّ الخَيَارَيْنِ تفضلُ اختِيارَه؟ الخَيَارُ الأول: يختارُ رياضُ الجملَ العربيَّ. الخَيَارُ الثاني: يختارُ رياضُ الجملَ الآسيوي. ,yes,8,10,no,
8,8.png,8.mp3,"قالَ الراعي لرياض: هذا هوَ الجَمَلُ العربي : ولهُ سَنامٌ واحدٌ على ظهرهِ. الناسُ في الصحراءِ يَرْكبونهُ، ويأكلونَ لحمهُ، ويشربونَ لَبَنَهُ. ",no,,,no,
9,9.png,9.mp3,"قالَ الراعي: انظرْ يا رياضُ لهذه الصورةِ، وعُدَّ الجمالَ العربيةَ  في هذهِ الصورةةِ.  قالَ رياض: 'أرى ثلاثةَ جِمَالٍ عربيةٍ. قالَ راعي الإبلِ: 'رائع! ",no,,,no,
