index,image,sound,text,options,option 1,option 2,end,end order
0,0.png,0.mp3,فارسٌ يحلمُ أنْ يزورَ الفضاء ,no,,,no,
1,1.png,1.mp3,"في مدينةِ العُلا التاريخية، كان هناك طفلٌ يُدعى فارس. كان فارسُ يحبُّ النجومَ والفضاءَ كثيرًا، وكان يحلمُ بأنْ يصبحَ رائدَ فضاءٍ مثلَ رائدةِ الفضاءِ السعودية( ريَّانة برناوي). ",no,,,no,
2,2.png,2.mp3,"في كلِّ ليلة، كانَ فارسُ يجلسُ بِجِوارِ عائلتِهِ ويتأَمَّلُ جبلَ الفيلِ الشهير، وينظرُ إلى السماءِ المليئةِ بالنجوم، ويتخيلُ كيفَ سيكونُ شعورهُ إذا سَافَرَ إلى الفضاء.",no,,,no,
3,3.png,3.mp3,"في أحدِ الأيام، قَرَّرَ فارسُ أنْ يبدأَ مغامرتهَُ نحوَ الفضاء.  ماذا يجبُ أنْ يفعلَ أوَّلًا؟ الخيارُ الاَوَّل: يذهبُ إلى المكتبةِ لقراءةِ كُتُبٍ عن الفضاء. الخَيَارُ الثاني :  يتحدثُ مع والدِهِ عن حُلْمِه.",yes,4,8,no,
4,4.png,4.mp3,"ذهبَ فارسُ إلى المكتبةِ التاريخيَّةِ في العُلا ، ووجدَ كتابًا عن الكواكبِ والفضاء. وفي صفحةٍ مميزة ، رأى صورةً لكوكبِ المريخ  (الكوكب الأحمر). قال فارسٌ لنفسهِ : ""سأكونُ أوَّلَ مَنْ يكتشفُ أسرارَ هذا الكوكب!""",no,,,no,
5,5.png,5.mp3,ماذا سيفعلُ فارسُ بعدَ ذلك؟ الخَيَارُ الأول: يبحثُ عن أصدقاءَ ليشاركوهُ المغامرة. الخَيَارُ الثاني: يبدأُ برسمِ خريطةٍ للمريخ.,yes,6,7,no,
6,6.png,6.mp3,"ذهبَ فارسُ إلى مدرستِهِ في العُلا، ودعا أصدقاءَهُ ليشاركوهُ في مغامرتِهِ الفضائية. بدأَ الأصدقاءُ جميعًا بِرسمِ الكواكبِ وتصميمِ صواريخَ من الورق. كانوا فريقًا مميَّزًا يحلمُ بالوصولِ إلى النجوم.",no,,,yes,"4 , 6"
7,7.png,7.mp3,"بدأَ فارسُ برسمِ خريطةٍ مُفَصَّلَةٍ للمريخ، وتخيَّلَ الأماكنَ التي سيكتشفها. ثُمَّ قالَ لنفسِهِ: ""يجبُ أنْ أتعلَّمَ كيفَ أقُودُ الصاروخ!"" وقرَّرَ أنْ يَذْهَبَ إلى رائِدِ فضاءٍ ليُعَلِّمَهُ كيفَ يقودُ الصاروخ.",no,,,yes,"4 , 7"
8,8.png,8.mp3,"تحدَّثَ فارسُ معَ والدِهِ عنْ حلمِهِ، فابتسمَ والِدُهُ وقال: ""لِمَ لا نبدأُ ببناءِ صاروخ منْ الكرتون؟"" وبالفعل، بدأَ فارسٌ ووالدُهُ في تصميمِ الصاروخ، وجمعُوا موادًّا من المنزلِ لتصميمِ صاروخِهِم الخاص.",no,,,no,
9,9.png,9.mp3,سألَ الأبُ ابنَهُ فارس: ماذا ستضعُ في صاروخك؟فبدأَ فارسُ يفكرُ فيما سيضعُهُ في صاروخِه؟  الخَيَارُ الأول: طعامَهُ المفضلُ (التمر). الخَيَارُ الثاني: أدواتِهِ للكتابةِ والرسم.,yes,10,11,no,
10,10.png,10.mp3,"قرَّر فارسُ أنْ يأخذَ التمرَ معهُ في رحلتِهِ الحالمة، وعندما قرأَ عن التمر، اكتشفَ أنَّ التمرَ هوَ أفضلُ غذاءٍ لرائدِ فضاءٍ سعودي، يُمِدُّهُ بالطاقةِ ويحافظُ عليه نشيطًا.",no,,,yes,"9 , 10"
11,11.png,11.mp3,"قرَّرَ فارسُ أَخْذَ أقلامِ الرصاصِ وأقلامِهِ الخشبيةِ الملونةِ وكرَّاسَتَهِ كي يرسمَ النجومَ والكواكبَ أثناءَ رحلتِه. كلَّما رأى نجمًا جديدًا، سيكتبُ عنهُ ويضيفهُ إلى ملاحظاتِهِ الفضائية.",no,,,no,
12,12.png,12.mp3,"في ليلة قمرية رائعة، اجتمع فارس وأصدقاؤه ووالده حول الصاروخ المكتمل. كانت السماء صافية والنجوم تتلألأ في الأعلى. قرروا أن يطلقوا الصاروخ في هذه الليلة المميزة. ",no,,,no,
13,13.png,13.mp3,"عندما حان الوقت المناسب، قام فارس وأصدقاؤه بدفع الصاروخ برفق نحو السماء. ارتفع الصاروخ ببطء وسط تصفيق وتشجيع الجميع. تابعوا الصاروخ وهو يختفي بين النجوم، تاركاً خلفه درباً من الأمل والأحلام.",no,,,no,
14,14.png,14.mp3,"في النهاية، تعلم فارس وأصدقاؤه أن تحقيق الأحلام يتطلب العمل الجاد والتعاون والمثابرة. واصلوا متابعة شغفهم بالفضاء والعلوم، مستلهمين من رحلتهم الفضائية الصغيرة التي قادتهم إلى النجوم.",no,,,yes,"9 , 11"
